V1_ROI,1002
MST_ROI,1003
V6_ROI,1004
V2_ROI,1005
V3_ROI,1006
V4_ROI,1007
V8_ROI,1008
4_ROI,1009
3b_ROI,1010
FEF_ROI,1011
PEF_ROI,1012
55b_ROI,1013
V3A_ROI,1014
RSC_ROI,1015
POS2_ROI,1016
V7_ROI,1017
IPS1_ROI,1018
FFC_ROI,1019
V3B_ROI,1020
LO1_ROI,1021
LO2_ROI,1022
PIT_ROI,1023
MT_ROI,1024
A1_ROI,1025
PSL_ROI,1026
SFL_ROI,1027
PCV_ROI,1028
STV_ROI,1029
7Pm_ROI,1030
7m_ROI,1031
POS1_ROI,1032
23d_ROI,1033
v23ab_ROI,1034
d23ab_ROI,1035
31pv_ROI,1036
5m_ROI,1037
5mv_ROI,1038
23c_ROI,1039
5L_ROI,1040
24dd_ROI,1041
24dv_ROI,1042
7AL_ROI,1043
SCEF_ROI,1044
6ma_ROI,1045
7Am_ROI,1046
7PL_ROI,1047
7PC_ROI,1048
LIPv_ROI,1049
VIP_ROI,1050
MIP_ROI,1051
1_ROI,1052
2_ROI,1053
3a_ROI,1054
6d_ROI,1055
6mp_ROI,1056
6v_ROI,1057
p24pr_ROI,1058
33pr_ROI,1059
a24pr_ROI,1060
p32pr_ROI,1061
a24_ROI,1062
d32_ROI,1063
8BM_ROI,1064
p32_ROI,1065
10r_ROI,1066
47m_ROI,1067
8Av_ROI,1068
8Ad_ROI,1069
9m_ROI,1070
8BL_ROI,1071
9p_ROI,1072
10d_ROI,1073
8C_ROI,1074
44_ROI,1075
45_ROI,1076
47l_ROI,1077
a47r_ROI,1078
6r_ROI,1079
IFJa_ROI,1080
IFJp_ROI,1081
IFSp_ROI,1082
IFSa_ROI,1083
p9-46v_ROI,1084
46_ROI,1085
a9-46v_ROI,1086
9-46d_ROI,1087
9a_ROI,1088
10v_ROI,1089
a10p_ROI,1090
10pp_ROI,1091
11l_ROI,1092
13l_ROI,1093
OFC_ROI,1094
47s_ROI,1095
LIPd_ROI,1096
6a_ROI,1097
i6-8_ROI,1098
s6-8_ROI,1099
43_ROI,1100
OP4_ROI,1101
OP1_ROI,1102
OP2-3_ROI,1103
52_ROI,1104
RI_ROI,1105
PFcm_ROI,1106
PoI2_ROI,1107
TA2_ROI,1108
FOP4_ROI,1109
MI_ROI,1110
Pir_ROI,1111
AVI_ROI,1112
AAIC_ROI,1113
FOP1_ROI,1114
FOP3_ROI,1115
FOP2_ROI,1116
PFt_ROI,1117
AIP_ROI,1118
EC_ROI,1119
PreS_ROI,1120
H_ROI,1121
ProS_ROI,1122
PeEc_ROI,1123
STGa_ROI,1124
PBelt_ROI,1125
A5_ROI,1126
PHA1_ROI,1127
PHA3_ROI,1128
STSda_ROI,1129
STSdp_ROI,1130
STSvp_ROI,1131
TGd_ROI,1132
TE1a_ROI,1133
TE1p_ROI,1134
TE2a_ROI,1135
TF_ROI,1136
TE2p_ROI,1137
PHT_ROI,1138
PH_ROI,1139
TPOJ1_ROI,1140
TPOJ2_ROI,1141
TPOJ3_ROI,1142
DVT_ROI,1143
PGp_ROI,1144
IP2_ROI,1145
IP1_ROI,1146
IP0_ROI,1147
PFop_ROI,1148
PF_ROI,1149
PFm_ROI,1150
PGi_ROI,1151
PGs_ROI,1152
V6A_ROI,1153
VMV1_ROI,1154
VMV3_ROI,1155
PHA2_ROI,1156
V4t_ROI,1157
FST_ROI,1158
V3CD_ROI,1159
LO3_ROI,1160
VMV2_ROI,1161
31pd_ROI,1162
31a_ROI,1163
VVC_ROI,1164
25_ROI,1165
s32_ROI,1166
pOFC_ROI,1167
PoI1_ROI,1168
Ig_ROI,1169
FOP5_ROI,1170
p10p_ROI,1171
p47r_ROI,1172
TGv_ROI,1173
MBelt_ROI,1174
LBelt_ROI,1175
A4_ROI,1176
STSva_ROI,1177
TE1m_ROI,1178
PI_ROI,1179
a32pr_ROI,1180
p24_ROI,1181
